metric,n,mean,std,min,max
most_residual,5600,0.5732656424529264,0.1254843486732049,0.4669885334052841,0.8944190198278845
profile_curvature,5600,0.17575684242228307,0.08365401099702208,0.034081294817340166,0.43095247210184534
transversality,5598,0.10525194756472353,0.1484196298630289,4.1941256463434144e-18,0.9999392753017111
phi_obs,5600,2.3901638961378153,1.8821744308842487,0.3731725907009927,13.249800861649833
zeta,5600,0.12908972971049393,0.5863963184474665,-3.1603572298447085,2.4499601723299667
L_obukhov,5600,-5.286071891070004,2732.6265890517298,-108991.44344577781,85919.65500535109
ustar,5600,0.3000000000000005,4.996449742314814e-16,0.3,0.3
