campaign,observations,height_levels,mean_wind_speed,mean_ri
BLLAST,5600,18,11.334748546485438,0.23548108780440433
SHEBA,2273,0,4.97758468983722,0.3449797272782983
FLOSS,70796,18,28.754604729605347,0.21217392207175537
CASES-99,6538,18,8.409815194987601,0.23967601111159503
